Name,MAC Address,Link
ESRB-Lobby,2c:cf:67:6d:3f:76,https://docs.google.com/presentation/d/e/2PACX-1vQP6PfFrV4C5n3DNzNXM0z_j-4ldy3iC9d7_UIdxsSZUfBhFLq3_z2QrcbUElBLl5PZGIsUYTyCxWbF/pub?start=true&loop=true&delayms=15000
Kiosk-ESRB-BAK,11:22:33:44:55:66,https://docs.google.com/presentation/d/e/2PACX-1vQ49fx2rs47ORlPeoArrw117su5r6c6ownr_UQDpLfn4jsAWXjmgyg55XDYdKAO4EU0r_gFtqSBBSdN/pub?start=true&loop=true&delayms=15000
Barrows101_Dept,2c:cf:67:00:77:a4,https://docs.google.com/presentation/d/e/2PACX-1vQP6PfFrV4C5n3DNzNXM0z_j-4ldy3iC9d7_UIdxsSZUfBhFLq3_z2QrcbUElBLl5PZGIsUYTyCxWbF/pub?start=true&loop=true&delayms=15000
Barrows104_Dept,2c:cf:67:00:78:10,https://docs.google.com/presentation/d/e/2PACX-1vQP6PfFrV4C5n3DNzNXM0z_j-4ldy3iC9d7_UIdxsSZUfBhFLq3_z2QrcbUElBLl5PZGIsUYTyCxWbF/pub?start=true&loop=true&delayms=15000
Barrows204_Dept,2c:cf:67:00:76:ed,https://docs.google.com/presentation/d/e/2PACX-1vQP6PfFrV4C5n3DNzNXM0z_j-4ldy3iC9d7_UIdxsSZUfBhFLq3_z2QrcbUElBLl5PZGIsUYTyCxWbF/pub?start=true&loop=true&delayms=15000
Barrows294_Dept,2c:cf:67:00:42:d6,https://docs.google.com/presentation/d/e/2PACX-1vQP6PfFrV4C5n3DNzNXM0z_j-4ldy3iC9d7_UIdxsSZUfBhFLq3_z2QrcbUElBLl5PZGIsUYTyCxWbF/pub?start=true&loop=true&delayms=15000
ERSB-Hallway-2nd-floor,2c:cf:67:00:43:f3,https://docs.google.com/presentation/d/e/2PACX-1vSW_J1kpHJutBkqDb5_mBd4o7eVD01bAtuEgQ8PeaJGJy7sJ0rvr4bfqdZGuVZnNm8CJYcZWXS1kF1j/pub?start=true&loop=true&delayms=15000
ERSB-Hallway-1st-floor,88:a2:9e:0c:6b:7d,https://docs.google.com/presentation/d/e/2PACX-1vSW_J1kpHJutBkqDb5_mBd4o7eVD01bAtuEgQ8PeaJGJy7sJ0rvr4bfqdZGuVZnNm8CJYcZWXS1kF1j/pub?start=true&loop=true&delayms=15000
Barrows23_Power_Lab,2c:cf:67:00:77:aa,https://docs.google.com/presentation/d/e/2PACX-1vRRjSFPP6P0pEAzAWKqXtBjT3a2shD_RP5IdJlzCrQucKqMJC3RPMYpteUQWGDYd7rWOINrIJIO3jj9/pub?start=true&loop=true&delayms=15000
Kiosk-Backup1,2c:cf:67:6d:3d:ea,https://docs.google.com/presentation/d/e/2PACX-1vQP6PfFrV4C5n3DNzNXM0z_j-4ldy3iC9d7_UIdxsSZUfBhFLq3_z2QrcbUElBLl5PZGIsUYTyCxWbF/pub?start=true&loop=true&delayms=15000
Kiosk-Backup2,2c:cf:67:6d:3e:92,https://docs.google.com/presentation/d/e/2PACX-1vQP6PfFrV4C5n3DNzNXM0z_j-4ldy3iC9d7_UIdxsSZUfBhFLq3_z2QrcbUElBLl5PZGIsUYTyCxWbF/pub?start=true&loop=true&delayms=15000
Kiosk-NEW-BACKUP-2,88:a2:9e:0c:6b:77,https://docs.google.com/presentation/d/e/2PACX-1vQP6PfFrV4C5n3DNzNXM0z_j-4ldy3iC9d7_UIdxsSZUfBhFLq3_z2QrcbUElBLl5PZGIsUYTyCxWbF/pub?start=true&loop=true&delayms=15000
Kiosk-NEW-BACKUP-3,88:a2:9e:0c:6b:a2,https://docs.google.com/presentation/d/e/2PACX-1vRRjSFPP6P0pEAzAWKqXtBjT3a2shD_RP5IdJlzCrQucKqMJC3RPMYpteUQWGDYd7rWOINrIJIO3jj9/pub?start=true&loop=true&delayms=15000

